Cle_Chrono;date;hippodrome;Course;heure;code_course;discipline;distance;allocation;nombre_partants;"Gains Totaux";"Gains Course";Numero;Cheval;ferrure;age;Sexe;Musique;Driver;Entraineur;avis_entraineur;"Taux Victoire";"Taux Place";"Taux Incident";"Classe Groupe";"Courses courues";nombre_victoire;nombre_place;incident;distanceRecord_sec;supplemente;ExFav;inTQQ;prec_popularite;Popularite;"Evo Popul";Cote;PC;Poids;Valeur;Place_Corde;Repos;Rank;"Turf Points";"TPch 90";"Moy. TPch 365";"Moy. TPch 90";"Rang J.";"TPJ 365";"TPJ 90";"Moy. TPJ 365";"Moy. TPJ 90";"Cote BZH";"Synergie JCh";ELO_Cheval;ELO_Jockey;ELO_Entraineur;ELO_Proprio;ELO_Eleveur;Sigma_Horse;Moy_Alloc;IA_Gagnant;IA_Couple;IA_Trio;IA_Multi;IA_Quinte;IMDC;Note_IA;Note_IA_Decimale;Rapport_SG;Rapport_SP;222;CagnesSPG;DSg;"GULFSTREAM PARK G";"Happy  valley";MaronasBorelisG;PAUJPtop2;Sgverification;"Simple relax";VSP/2;chaos;classement;conceptionG;deauville;ghlin;"kempton park";leBouscatP;lebouscapG;"simple chat";"simple placé max";vincenne;"Borda - Borda par Défaut";"Borda - Deauville galot pcf";"Borda - Pau attelé";"Borda - Pau monté";"Borda - Pau plat";"Borda - cagne sur mer attelé";"Borda - cagne sur mer monté";"Borda - le boucast";"Borda - monté 12-16 chevaux  vincenne";"Borda - trot 10-12 chevaux  vincenne";"Borda - trot 12-14 chevaux  vincenne";"Borda - trot 14-16 chevaux  vincenne";"Borda - trot 8-10 chevaux  vincenne"
202601151524R4C703;2026-01-15;Cagnes-sur-Mer;R4C7;15:24;R4C703;P;2150;20200,0;14;19818;1651,5;3;"PEARL SPIRIT";;4;F;(25)4p6p2p5p3p2p2p2p8p;"Mlle M. Vélon";"R. Fradet";;0,0;0,5;0;"Classe 3";12;0;6;0;;Non;Non;Non;129;128,0;-1;8,7;13;59;28;7;38,0;6;501;198;50,1;39,6;17;78195;16989;85,45901639344262;79,38785046728972;7,7;63,6;1503;1493;1435;1361;1386;51,72891632060267;14367;0,1117387811521755;0,1737397046480788;0,2470420847643015;0,3466563462257291;0,3466563462257291;0,0;⚖️15.2;15,2;;;;0;-5,25;0;-1,40;-7,15;;0;;0;0,39;POSSIBLE;0;-2,20;0;0;0;0;21,44;39,60;-2,30;54;143;188;132;149;156;135;143;183;237;241;228;233
202601151524R4C704;2026-01-15;Cagnes-sur-Mer;R4C7;15:24;R4C704;P;2150;20200,0;14;12367;951,30769230769;4;"SCARLET VALENTINE";;4;F;(25)4p0p9p1p6p6p9p9p3p;"A. Crastus";"J. Reynier";;0,0769230769230769;0,1538461538461538;0;"Classe 3";13;1;1;0;;Non;Non;Non;70;74,0;4;7,6;6,5;59;28;1;58,0;4;185;35;20,55555555555556;17,5;18;72752;20001;73,9349593495935;82,30864197530865;9,7;60;1453;1472;1531;1514;1361;52,0467542721613;18567;0,09801282329934;0,1475551530478152;0,2310998805908578;0,3143984614726582;0,3143984614726582;0,0;⚖️12.8;12,8;;;;0;-5,75;0;-2,40;-6,80;;0;;0;0,49;POSSIBLE;0;-3,90;0;0;0;0;18,27;32,11;-3,60;48;141;172;103;140;157;111;141;147;224;226;215;224
202601151524R4C705;2026-01-15;Cagnes-sur-Mer;R4C7;15:24;R4C705;P;2150;20200,0;14;4761;793,5;5;HOWABOUTHATNOW;;4;H;(25)8p9p4p5p4p5p;"Mlle S. Vogt";"H. Tabet";;0,0;0,0;0;"Classe 3";6;0;0;0;;Non;Oui;Non;45;45,0;0;8,8;21;58,5;27,5;10;30,0;5;95;51;15,833333333333334;12,75;155;10098;5957;129,46153846153845;170,2;14;0;1478;1454;1361;1361;1361;39,38531243862474;18233;0,0934485696263543;0,1456624668779005;0,2103569622874646;0,3005937346036148;0,3005937346036148;0,0;❌8.2;8,2;;;;0;-6,25;0;-3,60;-6,95;;0;;0;1,70;POSSIBLE;0;-3,80;0;0;0;0;-5;-0,50;-5;27;72;106;73;91;87;71;72;90;135;143;133;126
202601151524R4C706;2026-01-15;Cagnes-sur-Mer;R4C7;15:24;R4C706;P;2150;20200,0;14;11651;1059,1818181818;6;"MR HARPIN";;4;H;(25)6p7p0p6p1p5p(24)0p6p;"H. Boutin";"M. Boutin";;0,0909090909090909;0,0909090909090909;0;"Classe 3";11;1;0;0;;Non;Non;Non;64;76,0;12;9,5;34;58;27;13;16,0;12;126;10;21,0;3,333333333333333;25;58820;15858;81,35546334716459;91,13793103448276;8,4;0;1492;1511;1509;1378;1491;51,7751658928004;16700;0,099643487654013;0,1678771847036461;0,243923975395166;0,3431650890267628;0,3431650890267628;0,0;⚖️13.2;13,2;;;;0;-5,55;0;-1,40;-7,05;;0;;0;0,42;POSSIBLE;0;-3,00;0;0;0;0;-4,55;2,16;-3,00;57;106;153;98;136;137;83;106;140;184;187;175;175
202601151524R4C707;2026-01-15;Cagnes-sur-Mer;R4C7;15:24;R4C707;P;2150;20200,0;14;8998;818;7;"RUE DE L'ODEON";;4;F;(25)0p9p6p0p2p0p7p5p4p;"E. Hardouin";"D. Artu";;0,0;0,0909090909090909;0;"Classe 3";11;0;1;0;;Non;Non;Non;103;103,0;0;31;79;58;27;12;16,0;1;136;58;12,363636363636363;11,6;31;50460;12414;73,02460202604921;72,59649122807018;43;0;1441;1459;1497;1361;1473;51,47997329750279;18233;0,0370091108107939;0,0734533439221774;0,1014488577429745;0,1473894378557717;0,1473894378557717;0,0;❌9.2;9,2;31,4;7,4;;0;-9,35;0;-7,60;-7,80;;0;;0;2,15;OUTSIDERS;0;-9,10;0;0;0;0;-4,55;2,16;-10,40;21;67;83;57;70;85;68;67;91;115;120;117;89
202601151524R4C708;2026-01-15;Cagnes-sur-Mer;R4C7;15:24;R4C708;P;2150;20200,0;14;0;0;8;AMANDINES;;4;F;(25)0p9p7p6p(24)8p;"E. Corallo";"C. Ferland";;0,0;0,0;0;"Classe 3";5;0;0;0;;Non;Non;Non;20;27,0;7;26;90;58;27;9;48,0;8;8;0;2,0;0,0;79;24855;8680;120,07246376811594;127,6470588235294;19;40;1408;1460;1499;1361;1361;32,29363276823601;21400;0,0739406550968108;0,1064380013383941;0,1708623429686021;0,242095279286041;0,242095279286041;0,0;⚖️11.5;11,5;;;;0;-8,70;0;-6,60;-8,50;;0;;0;1,95;OUTSIDERS;0;-6,80;0;0;0;0;9,50;19,50;-8,30;26;60;76;45;58;82;48;60;64;108;118;112;90
202601151524R4C709;2026-01-15;Cagnes-sur-Mer;R4C7;15:24;R4C709;P;2150;20200,0;14;26222;1311,1;9;MAHJOUBA;;4;F;4p(25)9p8p6p9p0p7p4p7p;"Mlle M. Germain";"Y. Bonnefoy";;0,05;0,2;0;"Classe 3";20;1;3;0;;Non;Non;Non;169;180,0;11;15;17;57,5;26,5;8;11,0;11;423;71;24,88235294117647;14,2;89;22142;3820;75,82876712328768;49,61038961038961;13;51,2;1495;1468;1513;1431;1361;60,25061922031365;16300;0,0443245073157238;0,0853717105757126;0,1267592552896334;0,2336543542857317;0,2336543542857317;9,5;⚖️12.0;12,0;;;;-0;-8,95;0;-4,60;-8,40;;0;;0;10,15;POSSIBLE;0;-8,70;0;0;0;0;27,98;39,90;-8,20;42;90;147;101;131;143;119;90;141;179;184;179;173
202601151524R4C710;2026-01-15;Cagnes-sur-Mer;R4C7;15:24;R4C710;P;2150;20200,0;14;3304;1101,3333333333;10;"CAPE OF FLAMES";;4;F;3p(25)7p4p;"A. Orani";"J. Reynier";;0,0;0,3333333333333333;0;"Classe 3";3;0;1;0;;Non;Non;Non;29;41,0;12;4,7;5,1;57;26;5;10,0;2;78;78;26,0;26,0;20;69158;18768;101,55359765051396;108,48554913294798;5,9;55,9;1450;1485;1531;1361;1459;30,12426556972142;14367;0,1232067437641013;0,1844100063006322;0,3602828802290672;0,3888926703311297;0,3888926703311297;0,0;✅16.8;16,8;;1,9;;0;-5,35;0;-2,60;-7,85;;0;;0;1,30;FAVORIS;0;-1;0;0;0;0;22,03;33,45;-2;59;122;161;95;137;126;92;122;129;221;226;212;213
202601151524R4C711;2026-01-15;Cagnes-sur-Mer;R4C7;15:24;R4C711;P;2150;20200,0;14;31721;1220,0384615385;11;MIAIMAOU;;4;F;(25)8p5p2p5p6p7p8p4p3p;"A. Madamet";"MF. Weissmeier";;0,0;0,3076923076923077;0;"Classe 3";26;0;8;0;;Oui;Non;Non;121;121,0;0;15;24;55,5;24,5;6;45,0;10;341;81;21,3125;16,2;10;118968;17954;103,09185441941077;82,35779816513761;26;0;1460;1478;1508;1361;1394;61,49221100816747;14067;0,0410285427994329;0,0833401660711309;0,114850006564046;0,2147227485932744;0,2147227485932744;0,0;⚖️12.5;12,5;;;;0;-8,25;0;-5;-6,70;;0;;0;1,30;POSSIBLE;0;-9,10;0;0;0;0;-2,96;4,92;-8,90;37;125;155;102;118;147;118;125;159;203;206;202;190
202601151524R4C712;2026-01-15;Cagnes-sur-Mer;R4C7;15:24;R4C712;P;2150;20200,0;14;344;114,66666666667;12;"MIL'LEZ HYMME";;4;F;0p(25)7p7p;"D. Provost";"Y. Bonnefoy";;0,0;0,0;0;"Classe 3";3;0;0;0;;Non;Non;Non;2;2,0;0;128;36;55;24;4;10,0;14;1;1;0,5;0,5;35;45406;9691;95,79324894514768;80,0909090909091;107;30;1405;1356;1513;1394;1361;24,43474998607584;11633;0,0119403154824034;0,0155356328006469;0,0259282970932534;0,0452802132322121;0,0452802132322121;0,0;❌7.2;7,2;;;;0;-10,75;0;-9,40;-8,80;;0;;0;6,35;OUTSIDERS;0;-9,90;0;0;0;0;7;15;-12,60;15;24;40;18;35;50;29;24;15;56;78;77;49
